reaction	in@metabolic_network	DIRECTION	EC-NUMBER	COMMON-NAME
RXN-12392	brassica_napus	REVERSIBLE	EC-2.4.1.1	linear malto-oligosaccharide phosphorylase
RXN-12392				phosphorylase
RXN-14393	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.211	3-hydroxyacyl-CoA dehydrogenase
FESGSHTHIO-RXN	brassica_napus	LEFT-TO-RIGHT		sulfur dioxygenase
2.3.1.23-RXN	brassica_napus	REVERSIBLE	EC-2.3.1.23	1-acylglycerophosphocholine O-acyltransferase
RXN-14371	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.18	1,4-alpha-glucan branching enzyme
ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.144	anthranilate N-benzoyltransferase
2.7.11.24-RXN	brassica_napus	REVERSIBLE	EC-2.7.11.24	MAP kinase
GDPPYPHOSKIN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.6.5	GDP pyrophosphokinase
GDPPYPHOSKIN-RXN				GTP diphosphokinase
RXN-14325	brassica_napus	LEFT-TO-RIGHT		CTP synthase
RXN-12971	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.93	
2.7.7.33-RXN	brassica_napus	REVERSIBLE	EC-2.7.7.33	&alpha;-D-glucose-1-phosphate cytidylyltransferase
RXN0-2142	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	3-oxo-cis-&Delta;5-dodecenoyl-[acp] reductase
RXN0-2142				3-oxo-pimeloyl-[acp] methyl ester reductase
RXN0-2142				3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-17730	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.4	phosphatidate phosphatase
RXN-17730				2-acyl-1-alkyl-sn-glycerol 3-phosphate phosphohydrolase
PSII-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.10.3.9	oxygen evolving
PSII-RXN				photosystem II
ALDXANAU-RXN	brassica_napus	REVERSIBLE	EC-1.2.1.4	chloroacetaldehyde dehydrogenase
RXN-7570	brassica_napus	LEFT-TO-RIGHT	EC-5.4.99.39	beta-amyrin synthase
RXN-16626	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	(9Z)-3-oxo-octadec-9-enoyl-[acp] reductase
RXN-16626				3-oxo-pimeloyl-[acp] methyl ester reductase
RXN-16626				3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
3.5.1.26-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.26	N4-(beta-N-acetylglucosaminyl)-L-asparaginase
DHBAMPLIG-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.58	2,3-dihydroxybenzoate-AMP ligase
METHYLCROTONYL-COA-CARBOXYLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.4.1.4	methylcrotonoyl-CoA carboxylase
RXN-8457	brassica_napus	LEFT-TO-RIGHT	EC-6.4.1.7	2-oxoglutarate carboxylase
RXN-12401	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.151	xyloglucanendohydrolase
RXN-171	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11	
RXN1G-2544	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.79	cis-cyclopropane-&Delta;19-37-hydroxy-38-methyl-C57:1-[acp] synthase
RXN1G-2544				cyclopropane-fatty-acyl-phospholipid synthase
RXN1G-2544				enoyl-[acyl-carrier-protein] reductase
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	brassica_napus	REVERSIBLE	EC-1.4.1.3	glutamate dehydrogenase [NAD(P)+]
RXN1G-3232	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1	cis-&Delta;19-37-hydroxy-38-methyl-C57:1-[acp] methylase/isomerase
RXN1G-3232				enoyl-[acyl-carrier-protein] reductase
RXN-8773	brassica_napus	REVERSIBLE	EC-1.1.1.21	alditol:NADP+ 1-oxidoreductase
RXN0-5265	brassica_napus	LEFT-TO-RIGHT		oxygen evolving
RXN0-6427	brassica_napus	LEFT-TO-RIGHT	EC-3.1.7.2	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase
RXN0-6427				guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase
RXN-17733	brassica_napus	LEFT-TO-RIGHT	EC-2.7.8.2	diacylglycerol cholinephosphotransferase
RXN-12729	brassica_napus	LEFT-TO-RIGHT	EC-4.4.1.8	cystathionine beta-lyase
2.7.7.13-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.13	mannose-1-phosphate guanylyltransferase
1.5.1.28-RXN	brassica_napus	REVERSIBLE	EC-1.5.1.28	
3.1.26.4-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.26.4	RNA-DNA hybrid ribonuclease
3.1.26.4-RXN				Rnase
RXN-14118	brassica_napus	REVERSIBLE	EC-3.5.4.13	
2.4.1.198-RXN	brassica_napus	REVERSIBLE	EC-2.4.1.198	
RXN-13443	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.330	3-oxoacyl-[acyl-carrier-protein] reductase
RXN-13443				3-oxo-arachidoyl-CoA reductase
RXN-12519	brassica_napus	LEFT-TO-RIGHT	EC-5.3.3.8	dodecenoyl-CoA delta-isomerase
RXN-12519				Peroxisomal 3,2-trans-enoyl-CoA isomerase
RXN-8772	brassica_napus	REVERSIBLE	EC-1.1.1.21	alditol:NADP+ 1-oxidoreductase
RXN-11784	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.21	primary amine oxidase
RNA-DIRECTED-DNA-POLYMERASE-RXN	brassica_napus	REVERSIBLE	EC-2.7.7.49	RNA-directed DNA polymerase
RXN-7948	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.75	phosphoryl-ethanolamine phosphatase
RXN-7948				phosphoethanolamine phosphatase
RXN-13908	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.96	pterin-4alpha-carbinolamine dehydratase
RXN-9657	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.9	crotonyl-[acp] reductase
RXN-9657				enoyl-[acyl-carrier-protein] reductase (NADH)
RXN-9702	brassica_napus	REVERSIBLE	EC-4.1.2.42	
THREONINE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.3	threonine-tRNA ligase
RXN0-1132	brassica_napus	LEFT-TO-RIGHT	EC-1.8.1.4	lipoate acetyltransferase N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase
RXN0-1132				dihydrolipoyl dehydrogenase
RXN-6383	brassica_napus	REVERSIBLE	EC-4.2.1.116	
RXN-11480	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN-11480				3-oxo-pimeloyl-[acp] methyl ester reductase
FORMATETHFLIG-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.4.3	formate:tetrahydropteroylpolyglutamate ligase
RXN-16156	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.93	
RXN-16249	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.40	hesperidin &alpha;-L-rhamnosidase
GLYCOPROTEIN-PHOSPHOLIPASE-D-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.4.50	
RXN-7738	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.14	chlorophyllase
RXN66-312	brassica_napus	LEFT-TO-RIGHT		4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol 4-hydroxylase
RXN66-312				C-4 methylsterol oxidase
RXN-9725	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.77	anthocyanidin reductase
3.4.11.10-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.10	
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.91	arogenate dehydratase
GLUTATHIONE-THIOESTERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2.7	glutathione thiolesterase
RXN-13602	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.21	linustatin &beta;-diglucosidase
RXN-13602				beta-glucosidase
RXN-13602				scopolin beta-glucosidase
RXN-13602				linustatinase (&beta;-diglucosidase)
GPPSYN-RXN	brassica_napus	REVERSIBLE	EC-2.5.1.1	dimethylallyltranstransferase
GPPSYN-RXN				prenyltransferase
RXN-10608	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.17	glucuronosyltransferase
RXN66-14	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.70	delta14-sterol reductase
RXN-17735	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.4	plasmenylethanolamine 2-acylhydrolase
RXN-17735				phospholipase A2
RXN-14963	brassica_napus	LEFT-TO-RIGHT	EC-1.3.5.4	fumarate reductase
RXN-11634	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.183	
URATE-OXIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.7.3.3	urate oxidase
3.4.23.40-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.23.40	
RXN-14494	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.134	3-hydroxy-lesqueroloyl-CoA dehydratase
RXN-14494				3-hydroxy-behenoyl-CoA dehydratase
RXN-9515	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.10	crotonyl-[acyl-carrier protein] reductase (NADP)
RXN-9515			EC-1.3.1.39	fatty-acyl-CoA synthase
RXN-9515			EC-2.3.1.85	fatty acid synthase
RXN-9515			EC-2.3.1.86	
RXN-2001	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1	
RXN-16393	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.3	decanoate--CoA ligase
RXN-16393				long-chain fatty acid-CoA ligase
3.2.1.50-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.50	
RXN-13279	brassica_napus	REVERSIBLE	EC-1.1.1.36	acetoacetyl-CoA reductase
3.2.1.8-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.8	endo-1,4-&beta;-xylanase
3.2.1.8-RXN				endo-1,4-beta-xylanase
RXN-17877	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.18	methionine aminopeptidase
ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.3.1.87	aralkylamine N-acetyltransferase
RXN-12789	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.145	3-beta-hydroxy-delta5-steroid dehydrogenase
RXN-13323	brassica_napus	REVERSIBLE	EC-2.5.1.32	geranylgeranyl-diphosphate geranylgeranyltransferase
RXN-18264	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.69	Lewis a antigen 2-&alpha;-L-fucosyltransferase
HIPPURATE-HYDROLASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.32	
SPHINGOSINE-N-ACYLTRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.3.1.24	sphingosine N-acyltransferase
RXN0-6521	brassica_napus	LEFT-TO-RIGHT	EC-3.1.26.12	ribonuclease
RXN-16629	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.41	3-oxoacyl-[acyl-carrier-protein] synthase
RXN-16629				(11Z)-3-oxo-icos-11-enoyl-[acp] synthase
3.1.3.74-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.74	pyridoxal phosphatase
1.8.4.12-RXN	brassica_napus	REVERSIBLE	EC-1.8.4.12	protein-methionine-S-oxide reductase
1.8.4.12-RXN				peptide-methionine (R)-S-oxide reductase
RXN-15688	brassica_napus	REVERSIBLE	EC-2.3.1.236	
RXN-3341	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.343	6-phosphogluconate dehydrogenase
ASNSYNB-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.5.4	L-aspartate:L-glutamine amido-ligase (AMP-forming)
ASNSYNB-RXN				asparagine synthase (glutamine-hydrolyzing)
RXN-14921	brassica_napus	LEFT-TO-RIGHT	EC-5.5.1.24	&delta;-tocotrienol cyclase
RXN-5109	brassica_napus	LEFT-TO-RIGHT	EC-4.2.3.106	(E)-beta-ocimene synthase
2.4.1.43-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.43	UDP-D-galacturonate:1,4-a-poly-D-galacturonate 4-a-D-galacturonosyltransferase
2.4.1.43-RXN				polygalacturonate 4-alpha-galacturonosyltransferase
RXN0-2161	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.11	serine-tRNA ligase
RXN0-2161				L-serine:tRNASec ligase (AMP-forming)
TRNA-S-TRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.8.1.4	tRNA sulfurtransferase
INDOLE-3-ACETALDEHYDE-OXIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.2.3.7	indole-3-acetaldehyde oxidase
RXN-15244	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.300	
VICIANIN-BETA-GLUCOSIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.119	vicianin hydrolase
RXN-17873	brassica_napus	LEFT-TO-RIGHT	EC-3.4.11.18	methionine aminopeptidase
RXN-17582	brassica_napus	LEFT-TO-RIGHT	EC-4.4.1.23	ethene oxide:coenzyme M transferase
QOR-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.6.5.5	NADPH:quinone reductase
HOMOACONITATE-HYDRATASE-RXN	brassica_napus	REVERSIBLE	EC-4.2.1.36	cis-homoaconitate hydratase
ACYLPHOSPHATASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.1.7	acylphosphatase
RXN0-3542	brassica_napus	REVERSIBLE	EC-3.6.1	
RXN-11056	brassica_napus	LEFT-TO-RIGHT	EC-1.14.14.1	aromatase
ALPHA-13-GLUCAN-SYNTHASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.183	
RXN-10711	brassica_napus	LEFT-TO-RIGHT	EC-3.1.1.1	carboxylic ester hydrolase
RXN-10711				methyl indole-3-acetate methylesterase
2.5.1.39-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.5.1.39	4-hydroxybenzoate decaprenyltransferase
2.5.1.39-RXN				4-hydroxybenzoate nonaprenyltransferase
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.24	succinate-semialdehyde dehydrogenase (NAD+)
RXN66-12	brassica_napus	LEFT-TO-RIGHT		4,4-dimethyl-14&alpha;-hydroxymethyl-5&alpha;-cholesta-8-en-3&beta;-ol 14-dehydrogenase
RXN66-12				sterol 14-demethylase
FUMARYLACETOACETASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.7.1.2	fumarylacetoacetase
FUMARYLACETOACETASE-RXN				fumarylacetoacetate hydrolase
RXNQT-4142	brassica_napus	LEFT-TO-RIGHT	EC-3.1.3.93	L-galactose-1-phosphate phosphatase
RXN-17627	brassica_napus	LEFT-TO-RIGHT	EC-1.14.14.1	aromatase
MANDELONITRILE-LYASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.2.10	mandelonitrile lyase
RXN-18226	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.147	thioglucosidase
ETHYL-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.14.17.4	1-aminocyclopropane-1-carboxylate oxidase
GLYCEROL-KIN-RXN	brassica_napus	REVERSIBLE	EC-2.7.1.30	glycerol kinase
RXN-12378	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.215	tRNA (guanine26-N2-methyltransferase
RXN-8629	brassica_napus	REVERSIBLE	EC-1.8.1.4	H-Gcv-protein-(dihydrolipoyl)lysine:NAD+ oxidoreductase
RXN-8629				dihydrolipoyl dehydrogenase
R147-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.13.11.54	acireductone dioxygenase [iron(II)-requiring]
R147-RXN				1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)
PSERTRANSAM-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.52	O-phospho-L-serine:2-oxoglutarate aminotransferase
RXN-10740	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1	UDP-4-keto-rhamnose-4-keto-reductase
RXN-10740				UDP-L-rhamnose synthase
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	brassica_napus	REVERSIBLE	EC-2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
RXN-7902	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2.14	acyl-[acp] thioesterase
RXN-7902				palmitoyl-[acyl-carrier-protein] hydrolase
RXN-7902				acyl-[acyl-carrier-protein] hydrolase
RXN-7902				oleoyl-[acyl-carrier-protein] hydrolase
2.4.1.151-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.87	galactosyltransferase
INOSINEKIN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.73	inosine kinase
RXN-14903	brassica_napus	LEFT-TO-RIGHT	EC-1.5.5.2	proline dehydrogenase
BETA-GLUCURONID-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.31	beta-glucuronidase
RXN1G-469	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.100	3-oxobehenoyl-[acyl-carrier protein] reductase
RXN1G-469				3-oxo-behenoyl-[acp] reductase
RXN1G-469				3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)
RXN1G-469				3-oxo-pimeloyl-[acp] methyl ester reductase
RXN-16133	brassica_napus	REVERSIBLE	EC-1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
RXN0-5216	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.170	2-O-(6-phospho-&alpha;-mannosyl)-D-glycerate hydrolase
3.6.3.16-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.6.3.16	ATPase-coupled arsenite transmembrane transporter
RXN-11057	brassica_napus	LEFT-TO-RIGHT	EC-1.14.14.1	aromatase
RXN-13185	brassica_napus	REVERSIBLE	EC-1.23.5.1	
CHORISMATEMUT-RXN	brassica_napus	REVERSIBLE	EC-5.4.99.5	chorismate mutase
RXN-13186	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.27	
RXN-17797	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
O-SUCCINYLBENZOATE-COA-LIG-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.26	o-succinylbenzoate-CoA ligase
RXN0-6482	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.56	phosphate-dependent exonuclease
RXN66-550	brassica_napus	LEFT-TO-RIGHT	EC-1.5.5.1	electron-transferring-flavoprotein dehydrogenase
RXN-10609	brassica_napus	LEFT-TO-RIGHT	EC-2.4.1.17	glucuronosyltransferase
RXN66-305	brassica_napus	LEFT-TO-RIGHT		14-oxolanosterol deformylase
RXN66-305				sterol 14-demethylase
RXN0-722	brassica_napus	LEFT-TO-RIGHT	EC-1.17.4.1	2'-deoxyuridine 5'-diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
RXN0-722				ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
RXN-17678	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.219	dihydroflavonol 4-reductase
RXN-17678				dihydrokaempferol 4-reductase
ARGSUCCINSYN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.3.4.5	argininosuccinate synthase
RXN-12399	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.23	xyloglucan XLXG oligosaccharide &beta;-galactosidase
RXN-12399				XLXG xyloglucan oligosaccharide &beta;-galactosidase
RXN-12399				beta-galactosidase
RXN-13709	brassica_napus	LEFT-TO-RIGHT	EC-1.14.13.72	4-methylsterol monooxygenase
RXN-13709				C-4 methylsterol oxidase
CITSYN-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.3.16	citrate (Si)-synthase
CITSYN-RXN			EC-2.3.3.1	Condensing enzyme
CITSYN-RXN				citrate synthesis
RXN-12642	brassica_napus	REVERSIBLE	EC-1.1.1.102	3-dehydrosphinganine reductase
MALATE-DEHYDROGENASE-NADP+-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.1.1.82	malate dehydrogenase (NADP)
MALATE-DEHYDROGENASE-NADP+-RXN				malate dehydrogenase (NADP+)
RXN66-169	brassica_napus	LEFT-TO-RIGHT	EC-1.14.14.1	aromatase
3.2.1.3-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.3	
RXN-14715	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.34	2-trans,4-trans-tetradecadienoyl-CoA reductase
RXN-14715				2,4-dienoyl-CoA reductase (NADPH)
SERINE-C-PALMITOYLTRANSFERASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.50	serine C-palmitoyltransferase
GLYCINE-AMINOTRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.4	glycine:2-oxoglutarate aminotransferase
CITRAMALYL-COA-LYASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.3.25	(S)-citramalyl-CoA lyase
PROSTAGLANDIN-E2-9-REDUCTASE-RXN	brassica_napus	REVERSIBLE	EC-1.1.1.189	prostaglandin-E2 9-reductase
RXN0-5144	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
RXN-9344	brassica_napus	LEFT-TO-RIGHT	EC-1.2.1.84	long-chain acyl-CoA reductase
3.6.3.35-RXN	brassica_napus	REVERSIBLE	EC-3.6.3.35	manganese-transporting ATPase
RXN-1104	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.68	caffeate O-methyltransferase
3.1.2.14-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.1.2.14	acyl-[acyl-carrier-protein] hydrolase
3.1.2.14-RXN				palmitoyl-[acyl-carrier-protein] hydrolase
3.1.2.14-RXN				oleoyl-[acyl-carrier-protein] hydrolase
RXN-16653	brassica_napus	REVERSIBLE	EC-1.2.1.3	aldehyde dehydrogenase (NAD)
OROTPDECARB-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.1.1.23	orotidine-5'-phosphate decarboxylase
GDPREDUCT-RXN	brassica_napus	LEFT-TO-RIGHT	EC-1.17.4.1	GDP reductase
GDPREDUCT-RXN				ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
HISTIDINE--TRNA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.1.1.21	histidine-tRNA ligase
RXN-9600	brassica_napus	LEFT-TO-RIGHT	EC-1.4.3.22	histaminase
1.2.4.4-RXN	brassica_napus	REVERSIBLE	EC-1.2.4.4	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
RXN-11688	brassica_napus	LEFT-TO-RIGHT	EC-3.4.24.79	insulin-like growth factor binding protein-4 protease
RXN66-310	brassica_napus	LEFT-TO-RIGHT		4,4-dimethylzymosterol 4-hydroxylase
RXN66-310				C-4 methylsterol oxidase
RXN-7775	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.9	naringenin 3-dioxygenase
RXN-14123	brassica_napus	LEFT-TO-RIGHT	EC-1.14.11.39	
RXN-17924	brassica_napus	LEFT-TO-RIGHT		
RXN1G-460	brassica_napus	REVERSIBLE	EC-2.3.1.41	3-oxoacyl-[acyl-carrier-protein] synthase
RXN1G-460				3-oxoacyl-[acp] synthase
MYO-INOSITOL-1-KINASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.1.64	inositol 3-kinase
ALANINE-AMINOTRANSFERASE-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.2	L-alanine:2-oxoglutarate aminotransferase
3.5.1.27-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.88	
SIROHEME-FERROCHELAT-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.99.1.4	sirohydrochlorin ferrochelatase
ARYLFORMAMIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.9	kynurenine formamidase
RXN-11591	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.176	16S rRNA m5C967 methyltransferase
CERAMIDASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.5.1.23	ceramidase
CERAMIDASE-RXN				N-acylsphingosine amidohydrolase
RXN-12617	brassica_napus	LEFT-TO-RIGHT	EC-2.1.1.42	luteolin O-methyltransferase
RXN-12559	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.44	trans-2-hexenoyl-CoA  reductase (NAD+)
RXN-12559				trans-2-enoyl-CoA reductase (NAD+)
RXN-2043	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.4	endo-1,4-D-glucanase
RXN-2043				cellulase
1.12.5.1-RXN	brassica_napus	REVERSIBLE	EC-1.12.5.1	
RXN-14486	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.93	trans-(11Z)-eicos-11-enoyl-CoA reductase
RXN-17791	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.16	acetyl-CoA C-acyltransferase
RXN-16024	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.15	glycerol-3-phosphate O-acyltransferase
3.2.1.152-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.2.1.152	
RXN-9538	brassica_napus	LEFT-TO-RIGHT	EC-1.3.1.10	trans tetradec-2-enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)
RXN-9538			EC-1.3.1.39	fatty-acyl-CoA synthase
RXN-9538			EC-2.3.1.85	fatty acid synthase
RXN-9538			EC-2.3.1.86	trans tetradec-2-enoyl-[ACP] reductase
RXN-17077	brassica_napus	REVERSIBLE	EC-1.10.3.4	actinocin synthase
RXN-17252	brassica_napus	LEFT-TO-RIGHT		pheophorbide a oxygenase
BUTYRATE--COA-LIGASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-6.2.1.2	butyrate-CoA ligase
GABATRANSAM-RXN	brassica_napus	REVERSIBLE	EC-2.6.1.19	4-aminobutyrate transaminase
1.8.4.8-RXN	brassica_napus	REVERSIBLE	EC-1.8.4.8	phosphoadenylyl-sulfate reductase (thioredoxin)
RXN0-2144	brassica_napus	LEFT-TO-RIGHT	EC-4.2.1.59	3-hydroxy cis &Delta;5-dodecenoyl-[acp] dehydratase
RXN0-2144				3-hydroxyacyl-[acyl-carrier-protein] dehydratase
2.7.8.27-RXN	brassica_napus	REVERSIBLE	EC-2.7.8.27	sphingomyelin synthase
RXN-13440	brassica_napus	LEFT-TO-RIGHT	EC-6.3.2.30	cyanophycin primer-L-aspartate:L-arginine ligase
RXN-15043	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
3.4.19.5-RXN	brassica_napus	LEFT-TO-RIGHT	EC-3.4.19.5	beta-aspartyl-peptidase
2.7.7.1-RXN	brassica_napus	LEFT-TO-RIGHT	EC-2.7.7.1	nicotinamide-nucleotide adenylyltransferase
SELENOCYSTEINE-LYASE-RXN	brassica_napus	LEFT-TO-RIGHT	EC-4.4.1.16	selenocysteine lyase
RXN0-5330	brassica_napus	LEFT-TO-RIGHT	EC-1.6.5.9	NADH dehydrogenase (ubiquinone)
RXN-1826	brassica_napus	REVERSIBLE	EC-2.4.1.1	1,4-a-D-glucan:phosphate a-D-glucosyltransferase
RXN-1826				phosphorylase
RXN-17021	brassica_napus	LEFT-TO-RIGHT	EC-2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
