pathway	COMMON-NAME	TAXONOMIC-RANGE
PWY-6786	detoxification of small reactive electrophile species in chloroplasts	
PWY-7002	4-hydroxyacetophenone degradation	TAX-2
PWY0-1221	putrescine degradation II	TAX-2
PWY-7574	propanoyl-CoA degradation II	TAX-2
PWY-7574	propionyl-CoA degradation II	TAX-33208
PWY-7574		TAX-4751
PWY-7574		TAX-33090
PWY-5667	CDP-diacylglycerol biosynthesis I	TAX-2759
PWY-5667	CDP-diacylglycerol biosynthesis	TAX-2
PWY-5884	wax esters biosynthesis I	TAX-3998
PWY-5884	jojoba wax biosynthesis	
PWY-5884	liquid seed wax biosynthesis	
PWY66-399	gluconeogenesis III	TAX-33208
PWY-5992	thalianol and derivatives biosynthesis	TAX-3700
PWY-6146	Methanobacterium thermoautotrophicum biosynthetic metabolism	TAX-2157
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	TAX-2
HOMOSER-METSYN-PWY	L-methionine biosynthesis from L-homoserine	
HOMOSER-METSYN-PWY	L-methionine biosynthesis by transsulfuration	
PWY-7104	dTDP-L-megosamine biosynthesis	TAX-2
PWY-5337	stachyose biosynthesis	TAX-3398
PWY-5337	raffinose biosynthesis	
PWY-6275	&beta;-caryophyllene biosynthesis	TAX-33090
PWY-6433	hydroxylated fatty acid biosynthesis (plants)	TAX-33090
PWY66-366	flavin biosynthesis IV (mammalian)	TAX-33208
PWY66-366	riboflavin (vitamin B2) metabolism	
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	TAX-2759
PWY4FS-8		TAX-2
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)	TAX-2759
PWY-6	GDP-L-fucose biosynthesis (salvage pathway)	
LEU-DEG2-PWY	L-leucine degradation I	TAX-2759
LEU-DEG2-PWY		TAX-2
PWY-7431	aromatic biogenic amine degradation (bacteria)	TAX-2
PWY-5381	pyridine nucleotide cycling (plants)	TAX-33090
PWY-6707	gallate biosynthesis	TAX-4751
PWY-6707		TAX-33090
PWY-6707		TAX-2
PWY-5068	chlorophyll cycle	TAX-1117
PWY-5068	chlorophyll b biosynthesis	TAX-33682
PWY-5068		TAX-33090
PWY-6891	thiazole biosynthesis II (aerobic bacteria)	TAX-2
PWY-6891	2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis	
PWY-6949	DIBOA-glucoside biosynthesis	TAX-3398
PWY-6949	DIBOA biosynthesis	
PWY-6949	DIBOA-Glc biosynthesis	
PENTOSE-P-PWY	pentose phosphate pathway	TAX-2
PENTOSE-P-PWY	pentose shunt	TAX-2759
PENTOSE-P-PWY	hexose monophosphate shunt	
PENTOSE-P-PWY	phosphogluconate pathway	
PENTOSE-P-PWY	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway	
RUMP-PWY	formaldehyde oxidation I	TAX-2
PWY0-1317	L-lactaldehyde degradation (aerobic)	TAX-2157
PWY0-1317		TAX-2
PWY66-409	superpathway of purine nucleotide salvage	TAX-40674
PWY66-409		TAX-2759
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	TAX-2
PWY-5856	Q9 biosynthesis	
PWY-5856	ubiquinone-9 biosynthesis (prokaryotic)	
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	TAX-5782
PWY-6545		TAX-10239
PWY-6545		TAX-2
PWY-6545		TAX-2157
PWY-6368	3-phosphoinositide degradation	TAX-2759
PWY-6368	phosphatidyl-inositol 3,4,5-trisphosphate degradation	
PWY-5995	linoleate biosynthesis I (plants)	TAX-33090
PWY-5664	tetrahydrobiopterin biosynthesis II	TAX-33208
PWY-6534	phenylethylamine degradation II	TAX-2
PWY-7181	pyrimidine deoxyribonucleosides degradation	TAX-33208
PWY-7181		TAX-2157
PWY-7181		TAX-2
PWY-6482	diphthamide biosynthesis (archaea)	TAX-2157
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	TAX-33208
PWY-6123	inosine-5'-phosphate biosynthesis I	TAX-2
PWY-6123	IMP biosynthesis I	
PWY-4041	&gamma;-glutamyl cycle	TAX-33208
PWY-4041	glutathione metabolism	TAX-4751
PWY-7055	daphnetin modification	TAX-58024
PWY-5054	sorbitol biosynthesis I	TAX-3745
PWY-6745	phytochelatins biosynthesis	TAX-3193
PWY-6745	biosynthesis of heavy metal-binding ligands	
PWY-7092	neolinustatin bioactivation	TAX-58024
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	TAX-2759
PWY-6931	seleno-amino acid detoxification and volatilization I	TAX-33090
PWY-6931	Se volatilization I	
PWY-6931	Se-compound volatilization I	
PWY-6931	Se-amino acid detoxification and volatilization I	
PWY-6931	dimethyl selenide biosynthesis 	
P441-PWY	superpathway of N-acetylneuraminate degradation	TAX-2
P441-PWY	N-acetylneuraminate catabolism	
P441-PWY	sialic acid degradation	
PWY-6164	3-dehydroquinate biosynthesis I	TAX-3041
PWY-6164		TAX-2763
PWY-6164		TAX-287987
PWY-6164		TAX-5204
PWY-6164		TAX-2836
PWY-6164		TAX-4762
PWY-6164		TAX-4890
PWY-6164		TAX-5794
PWY-6164		TAX-33090
PWY-6164		TAX-2
PWY-2902	cytokinin-O-glucosides biosynthesis	TAX-3193
PWY-7343	UDP-glucose biosynthesis	TAX-2759
PWY-7343	UDP-D-glucose biosynthesis	TAX-2
PWY-7343	UDP-&alpha;-D-glucose biosynthesis	TAX-2157
PWY-5406	divinyl ether biosynthesis I	TAX-33090
PWY-5406	9-lipoxygenase and divinyl ether synthase pathway	
PWY-5406	9-LOX and DES pathway	
PWY-5406	colneleate biosynthesis	
PWY-5406	colnelenate biosynthesis	
PWY-5660	taxol biosynthesis	TAX-4751
PWY-5660	paclitaxel biosynthesis	TAX-3313
PWY-6966	methanol oxidation to formaldehyde I	TAX-1224
PWY-6966	methylotrophy	
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)	TAX-2
PWY0-1305	glutamate dependent acid resistance	TAX-33154
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	TAX-1224
COBALSYN-PWY	vitamin B12 biosynthesis	
PWY-7589	palmitoleate biosynthesis III (cyanobacteria)	TAX-33090
PWY-7589	palmitoleic acid biosynthesis III (cyanobacteria)	TAX-1117
PWY-6952	glycerophosphodiester degradation	TAX-2
PWY-3001	superpathway of L-isoleucine biosynthesis I	TAX-4751
PWY-3001		TAX-33090
PWY-3001		TAX-2
XYLCAT-PWY	xylose degradation I	TAX-4751
XYLCAT-PWY	xylose catabolism	TAX-2
PWY-5082	L-methionine degradation III	TAX-4751
PWY-5082	Ehrlich pathway	
PWY-6011	amygdalin and prunasin degradation	TAX-2
PWY-6011		TAX-721805
PWY-5516	xylose degradation II	TAX-4751
PWY-1741	indole-3-acetyl-ester conjugate biosynthesis	TAX-3193
PWY-1741	indole-3-acetic acid-ester conjugate biosynthesis	
PWY-1741	IAA-ester conjugation	
PWY-1741	IAA-ester conjugate biosynthesis	
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	TAX-1117
SUCSYN-PWY	sucrose biosynthesis I (from Calvin cycle intermediates)	TAX-33090
SUCSYN-PWY	sucrose biosynthesis I	
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	TAX-2
PWY-6893	vitamin B1 biosynthesis II	
PWY-6893	thiamin diphosphate biosynthesis II (Bacillus)	
PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae)	TAX-2830
PWY-6053	DMSP biosynthesis	TAX-33634
PWY-6053	dimethylsulfoniopropionate biosynthesis III (algae)	TAX-2763
PWY-6053		TAX-3041
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	TAX-4751
ACETOACETATE-DEG-PWY		TAX-2
PWY-6061	bile acid biosynthesis, neutral pathway	TAX-7742
PWY-6061	bile acid biosynthesis (classic pathway)	
PWY-695	abscisic acid biosynthesis	TAX-3193
PWY-695	ABA synthesis	
PWY-6303	methyl indole-3-acetate interconversion	TAX-3193
PWY-6303	MeIAA interconversion	
PWY-6303	Methyl IAA biosynthesis	
PWY-3661-1	glycine betaine degradation II (mammalian)	TAX-40674
PWY-5766	L-glutamate degradation X	TAX-33208
PWY-5766		TAX-2157
PWY-5766		TAX-2
PWY0-1295	pyrimidine ribonucleosides degradation	TAX-33208
PWY0-1295		TAX-2157
PWY0-1295		TAX-2
PWY-6801	volatile esters biosynthesis (during fruit ripening)	TAX-33090
PWY-6801	ethylene-stimulated fruit ester biosynthesis	
PWY-6638	sulfolactate degradation III	TAX-2
PWY-6689	tRNA splicing I	TAX-33090
PWY-6689		TAX-4751
PWY-5047	gibberellin biosynthesis IV (Gibberella fujikuroi)	TAX-4751
PWY-5047	GA3 biosynthesis	
P163-PWY	L-lysine fermentation to acetate and butanoate	TAX-2
P163-PWY	3-keto-5-aminohexanoate pathway	
P163-PWY	L-lysine fermentation to acetate and butyrate	
PWY-2201	folate transformations I	TAX-2759
PWY-2201		TAX-2
PWY-2201		TAX-2157
PWY-2261	ascorbate glutathione cycle	TAX-33682
PWY-2261	hydrogen peroxide detoxification	TAX-33090
PWY-2261		TAX-1117
PWY-5938	(R)-acetoin biosynthesis I	TAX-4751
PWY-5938	D-acetoin biosynthesis I	TAX-2
PWY-7614	methiin metabolism	TAX-40553
PWY-7835	super pathway of glycosphingolipids biosynthesis	TAX-33208
PWY-5481	pyruvate fermentation to lactate	TAX-2759
PWY-5481		TAX-2
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	TAX-2759
PWY-6613	folic acid salvage	TAX-2
PWY-6613	folate salvage	
PWY-6613	THF salvage	
PWY4FS-3	phosphatidylcholine biosynthesis III	TAX-33090
PWY-5114	UDP-sugars interconversion	TAX-3193
PWY-5905	hypusine biosynthesis	TAX-2759
PWY-822	fructan biosynthesis	TAX-2
PWY-822		TAX-3193
PWY-7841	neolacto-series glycosphingolipids biosynthesis	TAX-33208
PWY-7841	neolactoglycosphingolipids biosynthesis	
PWY-6611	adenine and adenosine salvage V	TAX-2
PWY-6611	adenosine nucleosides salvage V	
P101-PWY	ectoine biosynthesis	TAX-2
PWY-6148	tetrahydromethanopterin biosynthesis	TAX-578822
PWY-6148	H4MPT biosynthesis	TAX-224756
PWY-6148		TAX-183925
PWY-6148		TAX-183939
PWY-7416	phospholipid remodeling (phosphatidylcholine, yeast)	TAX-2759
PWY-7385	1,3-propanediol biosynthesis (engineered)	TAX-4751
PWY-7385	1,3-PDO biosynthesis	TAX-2
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	TAX-33084
FASYN-INITIAL-PWY		TAX-33208
FASYN-INITIAL-PWY		TAX-4751
FASYN-INITIAL-PWY		TAX-2
PWY-5272	abscisic acid glucose ester metabolism	TAX-3193
PWY-5272	abscisic acid inactivation	
PWY-5272	abscisic acid degradation II	
PWY-5272	ABA conjugation pathway	
PWY-5272	abscisic acid conjugation pathway	
PWY-6748	nitrate reduction VII (denitrification)	TAX-2
PWY-6748	denitrification	
PWY-6748	nitrate respiration	
PWY-2681	trans-zeatin biosynthesis	TAX-3193
PWY-2681	trans-cytokinin biosynthesis	
PWY-2681	AMP-dependent cytokinin biosynthesis	
PWY0-662	PRPP biosynthesis I	TAX-2759
PWY0-662	5-phosphoribosyl 1-pyrophosphate biosynthesis	TAX-2157
PWY0-662		TAX-2
PWY-7185	UTP and CTP dephosphorylation I	TAX-2157
PWY-7185	pyrimidine nucleotides dephosphorylation	TAX-2759
PWY-7185		TAX-2
PWY-4221	pantothenate and coenzyme A biosynthesis II (plants)	TAX-33090
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	TAX-33090
PWY-6554	phytate biosynthesis	
PWY-7342	superpathway of nicotine biosynthesis	TAX-4070
PWY3O-440	acetoin biosynthesis III	TAX-3398
PWY3O-440		TAX-4751
PWY3O-440		TAX-2
PWY-1641	methane oxidation to methanol I	TAX-1224
PWY-1641	methanotrophy	
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	TAX-810
PWY-7657	dTDP-&beta;-L-digitoxose biosynthesis	TAX-2
PWY-7147	8-amino-7-oxononanoate biosynthesis II	TAX-2
PWY-7147	7-keto-8-aminopelargonate biosynthesis II	
PWY-6827	gellan degradation	TAX-2
PWY-7156	superpathway of ergosterol biosynthesis II	TAX-3041
PWY-7156	superpathway of ergosterol biosynthesis II (green algae)	
PWY-5367	petroselinate biosynthesis	TAX-3398
PWY-5367	petroselinic acid biosynthesis	
GLUDEG-I-PWY	GABA shunt	TAX-33208
PWY0-1061	superpathway of L-alanine biosynthesis	TAX-2
VALSYN-PWY	L-valine biosynthesis	TAX-2157
VALSYN-PWY		TAX-2
VALSYN-PWY		TAX-2759
PWY-6477	gibberellin inactivation II (methylation)	TAX-33090
PWY-6477	gibberellin carboxymethylation	
PWY-6477	gibberellin methylation	
PWY-5749	itaconate degradation	TAX-33154
PWY-5749	2-methylsuccinate degradation	TAX-2
PWY-7826	Amaryllidacea alkaloids biosynthesis	TAX-4668
SERDEG-PWY	L-serine degradation	TAX-4751
SERDEG-PWY		TAX-33208
SERDEG-PWY		TAX-2
PWY-6580	phosphatidylinositol biosynthesis I (bacteria)	TAX-2
PWY-6580	L-1-phosphatidyl-inositol biosynthesis I (bacteria)	
PWY-7822	chitin degradation III (Serratia)	TAX-2
PWY-3385	choline biosynthesis I	TAX-33090
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	TAX-4751
PWY-7524	mevalonate pathway III (archaea)	TAX-2157
CYSTSYN-PWY	L-cysteine biosynthesis I	TAX-2157
CYSTSYN-PWY		TAX-2
CYSTSYN-PWY		TAX-33090
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	TAX-33154
PWY-6837		TAX-33090
PWY-5270	morphine biosynthesis	TAX-40674
PWY-5270		TAX-3465
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis	TAX-33090
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine	TAX-3699
PWY-2361	3-oxoadipate degradation	TAX-201174
PWY-2361	&beta;-ketoadipate degradation	TAX-4751
PWY-2361		TAX-1224
PWY-6373	acrylate degradation	TAX-2
PWY-5269	cardiolipin biosynthesis II	TAX-2759
PWY-5030	L-histidine degradation III	TAX-40674
PWY-6679	jadomycin biosynthesis	TAX-2062
PWY-1081	homogalacturonan degradation	TAX-3193
PWY-1081	pectin degradation	
PWY-7666	galactolipid biosynthesis II	TAX-1117
PWY-7666	galactosylglyceride biosynthesis II	
PWY-7517	brassicicene C biosynthesis	TAX-4890
PWY-7517		TAX-4751
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	TAX-33154
GLUTAMATE-SYN2-PWY		TAX-2
GLUTAMATE-SYN2-PWY		TAX-2157
BGALACT-PWY	lactose degradation III	TAX-2
BGALACT-PWY	lactose degradation 3	
PWY-5437	L-threonine degradation I	TAX-2
PWY-6763	salicortin biosynthesis	TAX-40685
PWY-6763		TAX-3689
PWY-3461	L-tyrosine biosynthesis II	TAX-33090
PWY-3461	pretyrosine pathway	TAX-4751
PWY-3461		TAX-2
PWY-6000	&gamma;-linolenate biosynthesis II (animals)	TAX-33154
PWY-7020	superpathway of butirocin biosynthesis	TAX-2
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)	TAX-2
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)	TAX-1224
PWY-5710	capsaicin biosynthesis	TAX-4070
PWY-5710	capsaicinoids biosynthesis	
PWY-5710	hot pepper biosynthesis	
PWY-7143	kaempferol gentiobioside biosynthesis	TAX-3398
PWY-83	monolignol glucosides biosynthesis	TAX-58024
PWY-7725	arachidonate biosynthesis V (8-detaturase, mammals)	TAX-2759
PWY-7044	5-nitroanthranilate degradation	TAX-2
PWY-7140	myricetin gentiobioside biosynthesis	TAX-3398
PWY-7769	phosalacine biosynthesis	TAX-201174
CITRULBIO-PWY	L-citrulline biosynthesis	TAX-40674
PWY-702	L-methionine biosynthesis II	TAX-3193
PWY-702	L-methionine biosynthesis via O-phospho-homoserine	
PWY-7325	salvigenin biosynthesis	TAX-33090
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)	TAX-183924
NPGLUCAT-PWY	non-phosphorylated glucose catabolism	TAX-183967
NPGLUCAT-PWY	glucose degradation	
NPGLUCAT-PWY	non-phosphorylated glucose degradation	
PWY-6700	queuosine biosynthesis	TAX-2
DAPLYSINESYN-PWY	L-lysine biosynthesis I	TAX-2
DAPLYSINESYN-PWY	L-lysine and L-diaminopimelate biosynthesis	
PWY-5088	L-glutamate degradation VIII (to propanoate)	TAX-1239
PWY-5088	L-glutamate fermentation	
PWY-5088	mesaconate pathway	
PWY-5328	superpathway of L-methionine salvage and degradation	TAX-40674
PWY-5363	chrysin biosynthesis	TAX-4037
PWY-7254	TCA cycle VII (acetate-producers)	TAX-2
PWY-7254	tricarboxylic acid cycle	
PWY-7254	citric acid cycle	
PWY-7254	Krebs cycle	
PWY-7254	Szent-Gyorgyi-Krebs cycle	
PWY-7573	GDP-mycosamine biosynthesis	TAX-2
PWY-7656	Spodoptera littoralis pheromone biosynthesis	TAX-7088
PWY-7656	(9Z,11E)-tetradeca-9,11-dien-1-yl acetate biosynthesis	
PWY-5965	fatty acid biosynthesis initiation III	TAX-2
PWY-5670	epoxysqualene biosynthesis	TAX-2157
PWY-5670		TAX-203682
PWY-5670		TAX-1224
PWY-5670		TAX-2759
PWY-7221	guanosine ribonucleotides de novo biosynthesis	TAX-2
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	TAX-2157
PWY-7400		TAX-2
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	TAX-4751
PWY-7210		TAX-33208
PWY-7210		TAX-1239
PWY-7210		TAX-201174
PWY-5408	9-lipoxygenase and 9-hydroperoxide lyase pathway	TAX-33090
PWY-5408	9-LOX and 9-HPL pathway	
PWY-5408	9-oxo-nonanoate biosynthesis	
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	TAX-2759
BSUBPOLYAMSYN-PWY	arginine degradation to spermidine	TAX-2
BSUBPOLYAMSYN-PWY	spermidine biosynthesis	TAX-2157
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	TAX-33090
ASPARAGINE-DEG1-PWY		TAX-4751
ASPARAGINE-DEG1-PWY		TAX-33208
ASPARAGINE-DEG1-PWY		TAX-2157
ASPARAGINE-DEG1-PWY		TAX-2
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	TAX-2759
PWY-7388	octanoyl-ACP biosynthesis (mitochondria, yeast)	TAX-4751
PWY-5691	urate degradation to allantoin I	TAX-2
PWY-5691		TAX-2759
GLUCONSUPER-PWY	D-gluconate degradation	TAX-33154
GLUCONSUPER-PWY	gluconate utilization	TAX-2
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	TAX-2157
PWY490-4	L-asparaginyl-tRNAasn biosynthesis via transamidation	TAX-2
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	TAX-2
ARGDEG-PWY	L-arginine utilization	
ARGDEG-PWY	ADC pathway	
PWY-6322	phosphinothricin tripeptide biosynthesis	TAX-201174
PWY-6322	PTT biosynthesis	
PWY-6322	bialaphos biosynthesis	
PWY-2002	isoflavonoid biosynthesis I	TAX-3803
PWY-7118	chitin degradation to ethanol	TAX-33154
PWY-5057	L-valine degradation II	TAX-2
PWY-5057	Ehrlich pathway	TAX-4751
PWY-2722	trehalose degradation IV	TAX-4751
PWY-2722		TAX-33682
PWY-2722		TAX-2
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)	TAX-3700
PWY-6944	androstenedione degradation	TAX-2
PWY-862	fructan degradation	TAX-3193
PWY-862	fructan mobilization	
PWY1F-353	glycine betaine biosynthesis III (plants)	TAX-33090
PWY1F-353	glycine betaine biosynthesis	
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	TAX-2
PWY-6507	5-dehydro-4-deoxy-D-glucuronate degradation	
PWY-7803	tRNA splicing II	TAX-2157
PWY-7803		TAX-33208
PWY-6932	selenate reduction	TAX-4751
PWY-6932	selenium metabolism	TAX-2
PWY-6932	selenium assimilation	TAX-33090
PWY-6641	superpathway of sulfolactate degradation	TAX-2
PWY-6641	bifurcated pathway of 3-sulfolactate degradation	
PWY-6736	sulfur volatiles biosynthesis	TAX-3700
PWY-6736	biosynthesis of sulphur volatiles	
PWY-7443	(4S)-carvone biosynthesis	TAX-71274
PWY-7443	(+)-carvone biosynthesis	
PWY-7443	D-carvone biosynthesis	
PWY-63	UDP-L-arabinose biosynthesis I (from UDP-xylose)	TAX-82115
PWY-63	UDP-L-arabinose biosynthesis (de novo synthesis)	TAX-3193
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	TAX-3193
ARGASEDEG-PWY	L-arginase degradative pathway	TAX-33208
ARGASEDEG-PWY	L-glutamate biosynthesis	TAX-2157
ARGASEDEG-PWY		TAX-2
PWY-5147	oleate biosynthesis I (plants)	TAX-33090
PWY-5147	stearoyl-ACP desaturation pathway	TAX-33682
PWY-6153	autoinducer AI-2 biosynthesis I	TAX-2
FUCCAT-PWY	fucose degradation	TAX-2
FUCCAT-PWY	fucose catabolism	
PWY-7094	fatty acid salvage	TAX-2
PWY-3841	folate transformations II	TAX-33090
PWY-6599	guanine and guanosine salvage II	TAX-2759
PWY-6599		TAX-2
PWY-7119	sphingolipid recycling and degradation (yeast)	TAX-4751
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	TAX-2157
ARGDEGRAD-PWY	L-arginine dihydrolase pathway	TAX-2759
ARGDEGRAD-PWY	L-arginine deiminase degradation	TAX-2
PWY-5318	calystegine biosynthesis	TAX-4118
PWY-5318		TAX-4070
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)	TAX-33090
PWY66-389	phytol degradation	TAX-40674
P121-PWY	adenine and adenosine salvage I	TAX-33154
P121-PWY	purine salvage	TAX-2
P121-PWY	salvage pathway of adenosine nucleosides	TAX-2157
P121-PWY	adenosine nucleosides salvage I	
PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)	TAX-33090
PWY4LZ-257	pyruvate fermentation (Chlamydomonas overview)	
PWY4LZ-257	superpathway of fermentation from pyruvate (Chlamydomonas reinhardtii)	
PWY-7084	nitrifier denitrification	TAX-2
PWY-7084	nitrous oxide biosynthesis	
PWY-7084	aerobic denitrification	
PWY-5101	L-isoleucine biosynthesis II	TAX-183924
PWY-5101		TAX-224756
PWY-5101		TAX-183925
PWY-5101		TAX-203691
PWY-5101		TAX-183939
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	TAX-2759
POLYISOPRENSYN-PWY		TAX-2
POLYISOPRENSYN-PWY		TAX-2157
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	TAX-1224
PWY-5857	Q10 biosynthesis	
PWY-5857	ubiquinone-10 biosynthesis (prokaryotic)	
PWY-5958	acridone alkaloid biosynthesis	TAX-16739
PWY-5958		TAX-23513
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	TAX-1224
PWY-7287	novobiocin biosynthesis	TAX-201174
P108-PWY	pyruvate fermentation to propanoate I	TAX-2
P108-PWY	succinate-propionate fermentation pathway	
P108-PWY	pyruvate fermentation to propionate I	
P108-PWY	succinate-propanoate fermentation pathway	
PWY-7675	Kdo transfer to lipid IVA II	TAX-2
PWY-6873	long chain fatty acid ester synthesis (engineered)	TAX-2
PWY-7301	dTDP-4-O-demethyl-&beta;-L-noviose biosynthesis	TAX-201174
PWY-82	UDP-L-arabinose biosynthesis II (from L-arabinose)	TAX-3193
PWY-82	UDP-L-arabinose biosynthesis (salvage pathway)	
PWY-6113	superpathway of mycolate biosynthesis	TAX-1762
PWY-5034	GA12 biosynthesis	TAX-33090
PWY-5034	gibberellin A12 biosynthesis	
PWY0-1471	uracil degradation III	TAX-2
PWY-7126	ethylene biosynthesis IV (engineered)	TAX-4890
PWY-7126		TAX-1224
PWY-5027	phylloquinol biosynthesis	TAX-1117
PWY-5027	vitamin K1 biosynthesis	TAX-33090
PWY-5027	phylloquinone biosynthesis	
PWY-4981	L-proline biosynthesis II (from arginine)	TAX-2759
PWY4FS-13	extended VTC2 cycle	TAX-33090
PWY6666-2	dopamine degradation	TAX-33208
PWY-481	ethylbenzene degradation (anaerobic)	TAX-1224
PWY-481	anaerobic ethylbenzene oxidation	
PWY-481	anaerobic ethylbenzene degradation	
PWY-5987	sorgoleone biosynthesis	TAX-4557
PWY-6859	all-trans-farnesol biosynthesis	TAX-2759
PWY-6859	trans,trans-farnesol biosynthesis	
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas)	TAX-2
PWY-5031	L-histidine degradation V	TAX-33208
PWY0-1567	NADH to cytochrome bo oxidase electron transfer II	TAX-2
PWY0-1567		TAX-2157
PWY0-1546	muropeptide degradation	
PWY66-374	C20 prostanoid biosynthesis	TAX-40674
PWY-6441	spermine and spermidine degradation III	TAX-33090
PWY-6441	polyamine degradation III	
PWY-7101	5-deoxystrigol biosynthesis	TAX-33090
SUCROSEUTIL2-PWY	sucrose degradation VII (sucrose 3-dehydrogenase)	TAX-1224
PWY-7021	superpathway of neomycin biosynthesis	TAX-2
PWY-5945	zeaxanthin, antheraxanthin and violaxanthin interconversion	TAX-4751
PWY-5945	xanthophyll cycle	TAX-2763
PWY-5945		TAX-1117
PWY-5945		TAX-33090
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	TAX-2
PWY-5862	superpathway of demethylmenaquinone-9 biosynthesis	
PWY-1422	vitamin E biosynthesis (tocopherols)	TAX-1117
PWY-1422	tocopherol biosynthesis	TAX-3041
PWY-1422		TAX-2870
PWY-1422		TAX-2763
PWY-1422		TAX-33090
PWY-7799	Arg/N-end rule pathway (eukaryotic)	TAX-33208
PWY-7799		TAX-33090
PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	TAX-33208
PWY-4361		TAX-2157
PWY-4361		TAX-2
PWY-4361		TAX-3193
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	TAX-2157
ARGSYN-PWY		TAX-33090
ARGSYN-PWY		TAX-2
PWY-5424	superpathway of oleoresin turpentine biosynthesis	TAX-3313
PWY-5897	superpathway of menaquinol-11 biosynthesis	TAX-85006
PWY-5897	vitamin K2 biosynthesis	TAX-838
PWY-5897	superpathway of menaquinone-11 biosynthesis	TAX-816
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	TAX-33154
HOMOCYSDEGR-PWY	L-homocysteine degradation	TAX-2157
HOMOCYSDEGR-PWY		TAX-2
PWY-7195	pyrimidine ribonucleosides salvage III	TAX-2157
PWY-7195		TAX-4751
PWY-7195		TAX-2
PWY-5915	phycoerythrobilin biosynthesis I	TAX-1117
PWY-5488	4-nitrophenol degradation II	TAX-2
PWY-5488	p-nitrophenol degradation II	
PWY-7000	kanamycin biosynthesis	TAX-201174
PWY-6549	L-glutamine biosynthesis III	TAX-3193
PWY-6549	L-glutamine biosynthesis (nitrogen remobilization from senescing leaves)	
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	TAX-2
PWY-7373	superpathway of demethylmenaquinone-6 biosynthesis II	
PWY-5409	divinyl ether biosynthesis II	TAX-33090
PWY-5409	etheroleate biosynthesis	
PWY-5409	13-LOX and 13-DES pathway	
PWY-1822	indole-3-acetate activation I	TAX-33090
PWY-1822	IAA biosynthesis from amide-conjugates	
PWY-1822	IAA deconjugation	
PWY-1822	indole-3-acetic acid biosynthesis from amide-conjugates	
PWY-1822	IAA activation I	
